rep,model,calib,estimator,estimate,ece,r2g0,ATE_true
2,rf,beta,AIPW-N,4.8060198345465395,0.03025877241864632,0.5494753110561024,5.363237518910742
2,rf,iso,IPW,2.7004045721544347,0.04686536700290066,0.5494753110561024,5.363237518910742
2,rf,iso,IPW-N,2.7322979260360185,0.04686536700290066,0.5494753110561024,5.363237518910742
2,rf,iso,AIPW,3.2184459363248092,0.04686536700290066,0.5494753110561024,5.363237518910742
2,rf,iso,AIPW-N,3.790447904909411,0.04686536700290066,0.5494753110561024,5.363237518910742
2,boost,raw,IPW,32.799258407074745,0.15514637881868112,0.5494753110561024,5.363237518910742
2,boost,raw,IPW-N,1.3634605724568942,0.15514637881868112,0.5494753110561024,5.363237518910742
2,boost,raw,AIPW,0.45181894685895574,0.15514637881868112,0.5494753110561024,5.363237518910742
2,boost,raw,AIPW-N,4.29075836004437,0.15514637881868112,0.5494753110561024,5.363237518910742
2,boost,platt,IPW,8.008881045929318,0.04041577864847982,0.5494753110561024,5.363237518910742
2,boost,platt,IPW-N,6.0457092401955865,0.04041577864847982,0.5494753110561024,5.363237518910742
2,boost,platt,AIPW,5.369025626065641,0.04041577864847982,0.5494753110561024,5.363237518910742
2,boost,platt,AIPW-N,5.3931857974341835,0.04041577864847982,0.5494753110561024,5.363237518910742
2,boost,beta,IPW,7.313910839109601,0.02984787277121763,0.5494753110561024,5.363237518910742
2,boost,beta,IPW-N,5.888027962842392,0.02984787277121763,0.5494753110561024,5.363237518910742
2,boost,beta,AIPW,5.234144484360694,0.02984787277121763,0.5494753110561024,5.363237518910742
2,boost,beta,AIPW-N,5.249274105729349,0.02984787277121763,0.5494753110561024,5.363237518910742
2,boost,iso,IPW,5.2891286476944455,0.03734715243209792,0.5494753110561024,5.363237518910742
2,boost,iso,IPW-N,4.299552041555502,0.03734715243209792,0.5494753110561024,5.363237518910742
2,boost,iso,AIPW,4.689498128157677,0.03734715243209792,0.5494753110561024,5.363237518910742
2,boost,iso,AIPW-N,5.013726043838153,0.03734715243209792,0.5494753110561024,5.363237518910742
3,logit,raw,IPW,24.620648749047305,0.2125641906702466,0.5377795043363094,5.363237518910742
3,logit,raw,IPW-N,1.9762832480642594,0.2125641906702466,0.5377795043363094,5.363237518910742
3,logit,raw,AIPW,-9.175555973907532,0.2125641906702466,0.5377795043363094,5.363237518910742
3,logit,raw,AIPW-N,3.8197855352126626,0.2125641906702466,0.5377795043363094,5.363237518910742
3,logit,platt,IPW,9.020312249358385,0.024738742173490744,0.5377795043363094,5.363237518910742
3,logit,platt,IPW-N,6.856172983126564,0.024738742173490744,0.5377795043363094,5.363237518910742
3,logit,platt,AIPW,5.4400907293337974,0.024738742173490744,0.5377795043363094,5.363237518910742
3,logit,platt,AIPW-N,5.487148366030416,0.024738742173490744,0.5377795043363094,5.363237518910742
3,logit,beta,IPW,8.71769860524025,0.029065950336023612,0.5377795043363094,5.363237518910742
3,logit,beta,IPW-N,6.914927337401187,0.029065950336023612,0.5377795043363094,5.363237518910742
3,logit,beta,AIPW,5.480008120279475,0.029065950336023612,0.5377795043363094,5.363237518910742
3,logit,beta,AIPW-N,5.521866545242069,0.029065950336023612,0.5377795043363094,5.363237518910742
3,logit,iso,IPW,6.674508969469444,0.0413894728639093,0.5377795043363094,5.363237518910742
3,logit,iso,IPW-N,4.409507628163652,0.0413894728639093,0.5377795043363094,5.363237518910742
3,logit,iso,AIPW,3.954453215598873,0.0413894728639093,0.5377795043363094,5.363237518910742
3,logit,iso,AIPW-N,4.701268804397075,0.0413894728639093,0.5377795043363094,5.363237518910742
3,rf,raw,IPW,5.7779159556058035,0.05186833333333334,0.5377795043363094,5.363237518910742
